item_code,item_description,china_or_local,lead_time_days,total_sales,avg_daily_sales,stddev_qty,safety_stock,reorder_level,maximum_level
"PRESTIGE 9"" 20W SURFACE D/L","9"" 20W SURFACE-R 6500K",LOCAL STOCK,5,5,0.0417,0.24,1,2,2
AUK,U 13A 3 WAY ADAPTOR,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
JCTOP DB3109,JCTOP 9PCS SCREWDRIVER SET,CHINA STOCK,45,1,0.0083,0.09,2,2,2
JCTOP DB3106,JCTOP 6PCS SCREWDRIVER SET,CHINA STOCK,45,1,0.0083,0.09,2,2,2
JCTOP CG4003  9PCS HEX KEY (LONG),JCTOP 9PCS HEX KEY (LONG),CHINA STOCK,45,1,0.0083,0.09,2,2,2
"AWEISI LONG NOSE PLIER 6""","AWEISI LONG NOSE PLIER 6""",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"32MMX3/4"" PPRTFS(P/TS)","32x3/4"" PPR F.SOC(P/T)",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"32MMX3/4"" PPRMTMA(VS)","32x3/4"" PPR MTA(VS)",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"1/2"" HEAVY DUTY BRASS GATE VALVE","1/2"" H/D B.GATE VALVE",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"1/2"" G.I EQUAL ELBOW","1/2"" G.I ELBOW",LOCAL STOCK,5,5,0.0417,0.27,2,2,2
14T TWIST TEETH RAKE ONLY,14T TWIST TEETH RAKE ONLY,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"32MMX1"" BUTE-PE MALE SOCKET","32 X 1"" B-PE M.SOCKET",LOCAL STOCK,5,4,0.0333,0.37,2,2,2
32MM YINJIAHONG TCT HOLE SAW,32MM TCT HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"JCTOP 21"" (525MM) TOOLS BOX","21"" TOOLS BOX",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"15"" ADJUSTABLE WRENCH","15"" ADJUSTABLE WRENCH",CHINA STOCK,45,1,0.0083,0.09,2,2,2
B-FH-TOP,1.5MM S/S TOP J HOOK,LOCAL STOCK,5,3,0.025,0.27,2,2,2
1500G NYLON RUBBER HAMMER GREEN,1500G RUBBER HAMMER GRN,CHINA STOCK,45,1,0.0083,0.09,2,2,2
SWP10080-P,M10 X 80MM S/S WALL PLUG,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
32MM GAL PIPE HOOK,"32MM G.PIPE HOOK 1 1/4""",LOCAL STOCK,5,3,0.025,0.27,2,2,2
PRESTIGE LFT-14/1202003015,T8 LED CASING THICK 4',LOCAL STOCK,5,6,0.05,0.25,1,2,2
J422(E4303) J40.50 WELDING ELECTRODES 3.2MM,J422 10# WELDING ROD 5KG,CHINA STOCK,45,1,0.0083,0.09,2,2,2
PRESTIGE PLS-TDB-733 DOOR BELL,PRESTIGE PLS-TDB-733 DOOR BELL,LOCAL STOCK,5,6,0.05,0.22,1,2,2
PRESTIGE PLS-TL-10W LED BLK  T/3000K,10W LED TRACK/L BLK 3000K,LOCAL STOCK,5,3,0.025,0.27,2,2,2
3203015002,70/076/1.5 3C F.WIRE GRY,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
B4,B4 P.P FIBRE REFILL (5 IN 1),LOCAL STOCK,5,6,0.05,0.25,1,2,2
SWI178B,DINING CHAIR BLK M178EBR,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
B6136,"B6136 6"" S/S FLOOR TRAP",LOCAL STOCK,5,4,0.0333,0.26,1,2,2
BAJA 47 400G,BAJA 47 400G,LOCAL STOCK,5,5,0.0417,0.27,2,2,2
"BALNER S/STEEL PAD BOLT 4""","BALNER S/STEEL PAD BOLT 4""",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"PRESTIGE PT2004LP 4"" 12W 3000K","12W 3000K 4"" LED SQUARE",LOCAL STOCK,5,4,0.0333,0.37,2,2,2
3203005039,5M COMPUTER CABLE,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
ITN118F,"ITN118F 1/2"" S/S FLEX SINK TAP",LOCAL STOCK,5,7,0.0583,0.24,1,2,2
INTERNAL ANGLE TROWEL,INTERNAL CORNER TROWEL,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"6"" STEEL CALIPER BLACK BOX","6"" STEEL CALIPER BLACK BOX",CHINA STOCK,45,1,0.0083,0.09,2,2,2
WIRE CAP COVER LIGHT GREY 60MM,WIRE CAP COVER GRY 60MM,LOCAL STOCK,5,5,0.0417,0.3,2,2,2
315PVCC,315# WC CONNENTOR,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
PRESTIGE16W PLC LEDSTICK 6500K,16W PLC LED STICK 6500K,LOCAL STOCK,5,3,0.025,0.27,2,2,2
1/16 ANME,"1/16"" CUTTING NOZZLE",LOCAL STOCK,5,4,0.0333,0.37,2,2,2
BG-K22,2 X 3 X 10FT KAYU MASAK - BG,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
1.8MMX200MM WHT CABLE TIE,1.8X200MM WHT CABLE TIE,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HTDD09,25MM RED DOOR STOPPER,LOCAL STOCK,5,3,0.025,0.27,2,2,2
HST4MM,4MM HEAT SHRINK TUBE,LOCAL STOCK,5,5,0.0417,0.3,2,2,2
PRO-EXCEL T SPANNER 11MM,PRO-EXCEL T-SPANNER 11MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 55MM HOLE SAW,55MM HSS HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 50MM HOLE SAW,HSS HOLE SAW 50MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 45MM HOLE SAW,HSS HOLE SAW 45MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 40MM HOLE SAW,40MM HSS HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
3118G,4PC GRN PAD,LOCAL STOCK,5,6,0.05,0.22,1,2,2
"BHT 1/2""","1/2"" BRASS FLOAT VALVE",LOCAL STOCK,5,7,0.0583,0.24,1,2,2
PRO-EXCEL T SPANNER 12MM,PRO-EXCEL T-SPANNER 12MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BIG FASTENER SHOOTING NAILER,BIG FASTENER SHOOT NAILER,CHINA STOCK,45,0,0,0.13,2,2,2
310-10M NYLON ROPE 10M,92008 NYLON ROPE 10M,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BIG RAT/MOUSE TRAP BLACK,"MOUSE TRAP BLK 11""x6""x6""",CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 26MM HOLE SAW,26MM HSS HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"31"" X 82"" FOLDING DOOR","31"" X 82"" FOLDING DOOR",LOCAL STOCK,5,5,0.0417,0.27,2,2,2
PRO-EXCEL T SPANNER 15MM,PRO-EXCEL T-SPANNER 15MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BK10-U025,25MM U BRACKET,LOCAL STOCK,5,6,0.05,0.25,1,2,2
"BLACK INDUSTRIAL CASTER 4"" RIGID","4"" MD CASTER RIGID BLK",CHINA STOCK,45,1,0.0083,0.09,2,2,2
PRO-EXCEL T SPANNER 16MM,PRO-EXCEL T-SPANNER 16MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
1.5M PVC WASHER HOSE GREY,1.5M PVC WASHER HOSE GREY,CHINA STOCK,45,1,0.0083,0.09,2,2,2
PRO-EXCEL T SPANNER 17MM,PRO-EXCEL T-SPANNER 17MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"BLACK INDUSTRIAL CASTER 8""","8"" MD CASTER ONLY",CHINA STOCK,45,1,0.0083,0.09,2,2,2
PS-51F (CPA-27),"5""x1"" POLISH SPONGE FLAT",LOCAL STOCK,5,4,0.0333,0.29,2,2,2
PT TEE,"1/2""x3/4"" SYL B.PVC PT TEE",LOCAL STOCK,5,4,0.0333,0.26,1,2,2
BLB01-C TOWER BAR,BLB01-C TOWER BAR,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 22MM HOLE SAW,22MM HSS HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BLIMAX S/STEEL HOSE CLIP,"S/S HOSE CLIP W/HDL 7/8""",LOCAL STOCK,5,5,0.0417,0.27,2,2,2
"BLM-25 MAGNETIC WELDING HOLDER 3""","MAGNETIC WELD HOLDER 3""",CHINA STOCK,45,1,0.0083,0.09,2,2,2
1.5M 21V ADJUSTABLE ELECTRIC BRUSH CUTTER,1.5M 21V ADJ C/LESS BRUSH CUTTER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HSS4341# 19MM HOLE SAW,19MM HSS HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HS-6095 HAOSEN DUSTPAN W/ BROOM SET,HAOSEN DUSTPAN W/ BROOM SET,CHINA STOCK,45,1,0.0083,0.09,2,2,2
1501006103,"6"" J FAN HOOK (N)",LOCAL STOCK,5,4,0.0333,0.37,2,2,2
BOSCH GWS700 ANGLE GRINDER,BOSCH GWS700 A/GRINDER,LOCAL STOCK,5,6,0.05,0.25,1,2,2
1.5 METER RETRACTABLE CLOTH HANGER 3 BAR,1.5M RETRACTABLE C/HANGER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
1.3M OUTLET W/M HOSE,1.3M W/M OUTLET HOSE GRY,CHINA STOCK,45,1,0.0083,0.09,2,2,2
1.34E+11,DOGYU HAMMER 28MM,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
305B VESIC,VESIC S.GOGGLE BLK 305B,LOCAL STOCK,5,6,0.05,0.22,1,2,2
STSB5GN,S515N 5G T/SOC NEON BLK,LOCAL STOCK,5,4,0.0333,0.29,2,2,2
BOSUN 110 RED DIAMOND CUTTING DISC,BOSUN 110 RED DIAMOND CUTTING DISC,CHINA STOCK,45,1,0.0083,0.09,2,2,2
3030405,LB405 PLASTIC LIDI BROOM,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
BOSUN 114 GOLD DIAMOND CUTTING DISC RED,BOSUN 114 GOLD DIAMOND DISC RED,CHINA STOCK,45,1,0.0083,0.09,2,2,2
STRAW HAT,STRAW HAT,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
BOSUN 156,BOSUN 156 RED DIAMOND CUTTING DISC,CHINA STOCK,45,1,0.0083,0.09,2,2,2
PU JIANG HACKSAW BLK HDL,PU JIANG HACKSAW BLK HDL,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BOSUN EN13236 NO.2 DIAMOND CUTTING DISC,NO.2  DIAMOND CUTTING DISC,CHINA STOCK,45,1,0.0083,0.09,2,2,2
150KG COMBINABLE PLATFORM HAND TRUCK,150KG PVC JOINABLE TROLLEY,CHINA STOCK,45,1,0.0083,0.09,2,2,2
1.15M EXTENDABLE TAPPING ROD,115CM TAPPING ROD YLW/BLK,CHINA STOCK,45,1,0.0083,0.09,2,2,2
150MM PLASTIC CALIPER BLACK,150MM PLASTIC CALIPER BLK,CHINA STOCK,45,1,0.0083,0.09,2,2,2
STOCK-005,KEY 5,LOCAL STOCK,5,4,0.0333,0.29,2,2,2
BOTEX WH 313H/BCPUW11/4H,"313H 1 1/4"" S/S POP UP WASTE",LOCAL STOCK,5,7,0.0583,0.24,1,2,2
HL372-P,STEEL KEY HOOK,LOCAL STOCK,5,3,0.025,0.27,2,2,2
159CH,159 CROSS HDL STOPCOCK,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
HK135A 180CM*20M MASKING FILM,92039 MASKING FILM 180CMx20M,CHINA STOCK,45,1,0.0083,0.09,2,2,2
30079(R),RUBBER EAR PLUG,LOCAL STOCK,5,3,0.025,0.27,2,2,2
1.0KG STONE HAMMER,1.0KG STONE HAMMER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
15M CABLE PULLER BLK/YLW,15M CABLE PULLER BLK/YLW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
15METER WATER HOSE REEL,15MTR WATER HOSE REEL,CHINA STOCK,45,1,0.0083,0.09,2,2,2
STMT60811-8,STANLEY PH2X150MM S/DRIVER,LOCAL STOCK,5,6,0.05,0.22,1,2,2
HI-FI PUSH TO OPEN SINGLE DOOR MAGNETIC 55MM,55MM SINGLE PUSH DOOR MAGNETIC,LOCAL STOCK,5,4,0.0333,0.26,1,2,2
HGTTGCE30M,GCE GRN TWIST TIE 30M,LOCAL STOCK,5,7,0.0583,0.24,1,2,2
PVC CEMENT TROWEL 14 X 28CM,PVC TROWEL YLW 14 X 28CM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
PVC FINISHING TROWEL 240MM,PVC FINISHING TROWEL 240MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"16"" LONG NOSE PLIER 90 DEGREE","16"" LONG NOSE PLIER 90??",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"BRASS EXT THREAD ADAPTOR 1/2"" X 70MM","BRASS EXT THREAD ADAP 1/2"" X 70MM",CHINA STOCK,45,1,0.0083,0.09,2,2,2
WPTSH18-3/4R,"3/4"" TAP STOPPER",LOCAL STOCK,5,1,0.0083,0.27,2,2,2
HFTE 25.3/4,"25MM X 3/4"" HANSEN FTE",LOCAL STOCK,5,5,0.0417,0.24,1,2,2
"3/8"" HOSE QUICK CONNECTOR","3/8"" HOSE QUICK CONNECTOR",CHINA STOCK,45,1,0.0083,0.09,2,2,2
PWP1,PYE W/PROOF SEALANT 1L,LOCAL STOCK,5,6,0.05,0.25,1,2,2
1605-29 M-30312 ELECTRIC KNIFE CURVED EDGE,M30312 ELEC KNIFE-CURVED,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"QIREN 14"" M/FUNCTIONAL SCISSORS RED","QIREN 14"" M/F SCISSORS RED",CHINA STOCK,45,1,0.0083,0.09,2,2,2
QIREN SK-5 MULTIFUNCTIONAL WOOL SHEARS,SK-5 M/FUNC WOOL SHEAR,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BSP037-G,8x45MM BLK MAGNET NUT BIT,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
"3/4"" X 1"" POLY R/NIPPLE","3/4"" X 1"" POLY R/NIPPLE",LOCAL STOCK,5,4,0.0333,0.26,1,2,2
"3/4"" SPRING BENDER - SLS","3/4"" SPRING BENDER",LOCAL STOCK,5,6,0.05,0.22,1,2,2
HEE 32,32MM HANSEN ELBOW,LOCAL STOCK,5,5,0.0417,0.27,2,2,2
"3/4"" S/STEEL UNION/ITNSSFU3/4","3/4"" S/STEEL UNION",LOCAL STOCK,5,4,0.0333,0.26,1,2,2
"3/4"" HEAVY DUTY BRASS GATE VALVE","3/4"" H/D B.GATE VALVE",CHINA STOCK,45,1,0.0083,0.09,2,2,2
BUFFALO SAFETY BOOT 40/6#,BUFFALO SAFETY BOOT 40/6#,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BUFFALO SAFETY BOOT 42/8#,BUFFALO SAFETY BOOT 42/8#,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"3/4"" G.I CLASS B PIPE - FEET","3/4"" G.I CLASS B PIPE",LOCAL STOCK,5,4,0.0333,0.37,2,2,2
BUFFALO SAFETY BOOT 45/11#,BUFFALO SAFETY BOOT 45/11#,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BUFFALO SAFETY BOOT W/STEEL 38/4#,BUFFALO S.BOOT W/STEEL 38/4#,CHINA STOCK,45,1,0.0083,0.09,2,2,2
BUFFALO SAFETY BOOT W/STEEL 41/7#,BUFFALO S.BOOT W/STEEL 41/7#,CHINA STOCK,45,1,0.0083,0.09,2,2,2
QZZ003-NA-L,003 CASEMENT HDL L,LOCAL STOCK,5,4,0.0333,0.26,1,2,2
HEAVY DUTY KOREA HOSE PUMP,H/D 44GAL KOREA HOSE PUMP,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HEAVY DUTY F CLAMP 80 X 200,"H/D F-CLAMP 3""x8"" (80x200)",CHINA STOCK,45,1,0.0083,0.09,2,2,2
HEAT SHRINKABLE TUBE 127PCS,HEAT SHRINKABLE TUBE 127PCS,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HE-205,HARDEX 5MIN CLEAR EPOXY,LOCAL STOCK,5,6,0.05,0.25,1,2,2
HDMI/1002009021,SGL1592 HDMI CABLE 1.5M,LOCAL STOCK,5,0,0,0.52,2,2,2
C3020700300001,80G MOTH BALLS (UBAT GEGAT),LOCAL STOCK,5,3,0.025,0.27,2,2,2
HD03-SS-G,SGDS-03/SS DOOR HOLDER,LOCAL STOCK,5,6,0.05,0.25,1,2,2
HD03-AC,03AC DOOR HOLDER,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
CABLE PULLEY 50MM-80MM,CABLE PULLEY 50-80MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
CABLE PULLEY 60MM-150MM,CABLE PULLEY 60-150MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
RAINBOW PLATE HANGER MEDIUM,RAINBOW PLATE HANGER MEDIUM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
3.1 PIERCING CONN/2502003130,IPC-3.1 PIERCING CONNECTOR,LOCAL STOCK,5,4,0.0333,0.26,1,2,2
CADENAS GLOBE PADLOCK 30MM,CADENAS GLOBE PADLOCK 30MM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
3.0M PVC WASHER HOSE L GREY,3.0M PVC WASHER HOSE L GREY,CHINA STOCK,45,1,0.0083,0.09,2,2,2
CAR FUSE RED A10 5Pcs,CAR FUSE RED A10 5Pcs,CHINA STOCK,45,1,0.0083,0.09,2,2,2
STEEL HOSE CLIP 20-32MM,STEEL HOSE CLIP 20-32MM,LOCAL STOCK,5,4,0.0333,0.29,2,2,2
HCH-SG0103,24MMx1.5M 3M FOAM  TAPE,LOCAL STOCK,5,7,0.0583,0.24,1,2,2
CB10MX4076S,10M X 4076 CABLE BOX,LOCAL STOCK,5,7,0.0583,0.24,1,2,2
RAPID R23 ERGONOMIC STAPLE GUN,RAPID R23 ERGONOMIC STAPLE GUN,CHINA STOCK,45,1,0.0083,0.09,2,2,2
3-TON CAPACITY JACK STAND,3 TON JACK STAND,CHINA STOCK,45,1,0.0083,0.09,2,2,2
HC250S-XG(B),300kg PVC H.TRUCK YLW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"3-1/2"" JRP CONCRETE NAIL","3-1/2"" JRP CONCRETE NAIL",CHINA STOCK,45,1,0.0083,0.09,2,2,2
RATCHET TIE DOWN 50MM X 10M X 3 TON,"H/D RATCHET T.DOWN 2""x10Mx3Ton",CHINA STOCK,45,1,0.0083,0.09,2,2,2
16MM YINJIAHONG TCT HOLE SAW,16MM TCT HOLE SAW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"3"" X 680  DOMINO PAINT BRUSH","3"" X 680 PAINT BRUSH",LOCAL STOCK,5,5,0.0417,0.27,2,2,2
RATCHET TIE DOWN 50MM X 10M X3TON ORANGE/BLK,"RATCHET T.DOWN 2""x10Mx3Ton ",CHINA STOCK,45,1,0.0083,0.09,2,2,2
HAND GRIP S.PAPER SPONGE HOLDER,H/GRIP S.PAPER SPONGE HOLDER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
16OZ RUBBER MALLET HAMMER,16oz RUBBER HAMMER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
CCD41509,PLATONE HIGH GLOSS D BASE 1L,LOCAL STOCK,5,5,0.0417,0.3,2,2,2
"3"" GREEN DIAMOND DISC","3"" GREEN DIAMOND DISC",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"3"" 20V CORDLESS ANGLE GRINDER BLUE","3"" 20V C/LESS ANGLE GRINDER BLUE",CHINA STOCK,45,1,0.0083,0.09,2,2,2
RDP 100 MC 100 PIPE SOCKET,RDP100 MC100 PIPE SOCKET,LOCAL STOCK,5,4,0.0333,0.29,2,2,2
"3"" (82MM) UPVC STRAIGHT SOCKET","3"" UPVC SOCKET",LOCAL STOCK,5,5,0.0417,0.3,2,2,2
CCP3184D,WEATHERBOND P BASE 5L,LOCAL STOCK,5,6,0.05,0.25,1,2,2
RDP 100 MCR195 REVERSE FACE EL,MCR195 REVERSE FACE ELBOW,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
3 PIECE HSS MOUTH LIFT DRILL SET,3PC PPR LIFTING BIT,CHINA STOCK,45,1,0.0083,0.09,2,2,2
WS8E,WS8E SPARK PLUG B.CUTTER,LOCAL STOCK,5,5,0.0417,0.3,2,2,2
XD 0.8MMx5KG E71T MIG WIRE,XD 0.8MMx5KG E71T MIG WIRE,CHINA STOCK,45,1,0.0083,0.09,2,2,2
3 METER METAL EXTENSION POLE YELLOW,3M METAL EXTENSION POLE YLW,CHINA STOCK,45,1,0.0083,0.09,2,2,2
XD480 GOLDLAND JX 80M LASER DISTANCE METER,JH-J13 80M LASER DISTANCE METER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
2PC SET ANGLE GRINDER + IMPACT WRENCH RED/BLK,C/LESS GRINDER+ IMPACT WRENCH RED/BLK,CHINA STOCK,45,1,0.0083,0.09,2,2,2
17x21MM DOUBLE RATCHET WRENCH,17x21MM DOU RATCHET WRENCH,CHINA STOCK,45,1,0.0083,0.09,2,2,2
XH-P50 BX-P12 USB-C RECHARGE TORCHLIGHT,USB-C RECHARGE TORCHLIGHT,CHINA STOCK,45,1,0.0083,0.09,2,2,2
17x21MM DOUBLE RATCHET WRENCH BLACK,17x21MM DOU RATCHET WRENCH BLK,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"RELIANT JF23017007 4"" DIAMOND SAW BLADE","4"" DIAMOND SAW BLADE DRY",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"RELIANT JF23017007 5"" D.SAW BLADE","5"" D.SAW BLADE WET",CHINA STOCK,45,1,0.0083,0.09,2,2,2
GTY-1168/9600000030149,TOYO HIGH-TEMP GREASE 300ML,LOCAL STOCK,5,7,0.0583,0.24,1,2,2
ST009S,25MM SQ FELT PAD,LOCAL STOCK,5,5,0.0417,0.27,2,2,2
GT-3801 DOMINO GAS TORCH,GT-3801 GAS TORCH,LOCAL STOCK,5,6,0.05,0.22,1,2,2
"GSS - 8MM X 1/2""","MINI GLUE STICK 8 X 1/2""",LOCAL STOCK,5,5,0.0417,0.24,1,2,2
RF 22371-STF,RF22371 TALL BASIN TAP,LOCAL STOCK,5,6,0.05,0.25,1,2,2
GSB,BIG GLUE STICK (4 X 1/2),LOCAL STOCK,5,4,0.0333,0.29,2,2,2
RF 2WT-STF-32-401,32401 2WAY TAP W/HOSE,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
2901010031,18W E27 3U W/W PLCE TUBE,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
"GS-06 (3/4"")","3/4"" ACE CONCRETE NAILS",LOCAL STOCK,5,6,0.05,0.22,1,2,2
CKBHESC,HD ES BATTEN HOLDER,LOCAL STOCK,5,5,0.0417,0.3,2,2,2
18CM PUTTY KNIFE,18CM PUTTY KNIFE,CHINA STOCK,45,1,0.0083,0.09,2,2,2
2815001001,S/SOCKET SCREW,LOCAL STOCK,5,7,0.0583,0.24,1,2,2
"1-1/2"" (40MM) UPVC BEND W/DOOR","1-1/2"" UPVC BEND W/DOOR",LOCAL STOCK,5,5,0.0417,0.3,2,2,2
"2810 4"" HOSE NOZZLE","2810 4"" HOSE NOZZLE",CHINA STOCK,45,1,0.0083,0.09,2,2,2
"XING BO 12"" STUD CRIMPER","XING BO 12"" STUD CRIMPER",CHINA STOCK,45,1,0.0083,0.09,2,2,2
GP/EZF 17MM STEEL BEND,17MM STEEL BEND,LOCAL STOCK,5,6,0.05,0.22,1,2,2
"1-1/2"" (40MM) PVC P/T ELBOW","1-1/2"" PVC P/T ELBOW",LOCAL STOCK,5,5,0.0417,0.27,2,2,2
2808005175,MK E4782W 2G 1W SWITCH,LOCAL STOCK,5,5,0.0417,0.3,2,2,2
CLSS358,35 - 8 S/STEEL CABLE LUG,LOCAL STOCK,5,6,0.05,0.22,1,2,2
RUBBER KITCHEN DRAIN MAT 90 X 150CM,RUBBER DRAIN MAT 90x150CM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
18V CORDLESS DRILL,18V CORDLESS DRILL,CHINA STOCK,45,1,0.0083,0.09,2,2,2
CM18 CORDLESS IMPACT DRILL,CM18 CORDLESS IMPACT DRILL,CHINA STOCK,45,1,0.0083,0.09,2,2,2
GOLDLAND G30 ANTI-DROP LASER LEVER 5 LINES 972505,G30 ANTI-DROP 5 LINE LASER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
COF100A/1504001004,100A CUT OUT FUSE,LOCAL STOCK,5,3,0.025,0.27,2,2,2
COF63A,63A CUT OUT FUSE,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
COFB63A,BAHAYA 63A CUT OUT FUSE,LOCAL STOCK,5,5,0.0417,0.27,2,2,2
18V-1A BATTERY CHARGER,18V-1A BATTERY CHARGER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
Y8891SN/Y8891SS,Y8891SN HD CYLINDRICAL LOCK,LOCAL STOCK,5,4,0.0333,0.29,2,2,2
CORDLESS CHAINSAW & PRUNER SHEAR W/TELESCOPIC POLE,C/LESS CHAINSAW & PRUNER W/TELESCOPIC POLE,CHINA STOCK,45,1,0.0083,0.09,2,2,2
19001,MEGA CABLE 2.5MM X 100M,LOCAL STOCK,5,4,0.0333,0.37,2,2,2
GGM,MINI GLUE GUN 20W,LOCAL STOCK,5,7,0.0583,0.24,1,2,2
GGH11,11MM BLACK HOSE,LOCAL STOCK,5,3,0.025,0.27,2,2,2
2808003006,3G/1W SWITCH V305,LOCAL STOCK,5,5,0.0417,0.24,1,2,2
S-DS-LU211,D-BATTERY REFLASHING LIGHT,LOCAL STOCK,5,3,0.025,0.27,2,2,2
GDA2002SF50/GDA2002SF-5,50MM S/BUTTON OUTLET/V,LOCAL STOCK,5,6,0.05,0.22,1,2,2
GDA2002SF40/GDA2002SF-4,40MM S/BUTTON OUTLET/V,LOCAL STOCK,5,6,0.05,0.25,1,2,2
CR-2016-PANASONIC,CR2016 3V LITHIUM BATTERY,LOCAL STOCK,5,4,0.0333,0.26,1,2,2
S.BOOT W/STEEL YLW 5#,S.BOOTS W/STEEL YLW 5#,LOCAL STOCK,5,4,0.0333,0.29,2,2,2
CR-2450-PANASONIC,CR2450 3V LITHIUM BATTERY,LOCAL STOCK,5,4,0.0333,0.26,1,2,2
YASEN BLACK WATERPROOF SPRAY 700ML,BLK WATERPROOF SPRAY,CHINA STOCK,45,1,0.0083,0.09,2,2,2
CR-V 108PCS SOCKET WRENCH SET,CR-V 108PCS SOC WRENCH SET,CHINA STOCK,45,1,0.0083,0.09,2,2,2
"S/S EXT THREAD ADAPTOR 1/2"" X 50MM","S/S EXT THREAD ADAP 1/2"" X 50MM",CHINA STOCK,45,1,0.0083,0.09,2,2,2
GARDEN HOSE REEL SMALL,GARDEN HOSE REEL(S),CHINA STOCK,45,1,0.0083,0.09,2,2,2
"S/S EXT THREAD ADAPTOR 1/2"" X 70MM","S/S EXT THREAD ADAP 1/2"" X 70MM",CHINA STOCK,45,1,0.0083,0.09,2,2,2
CT-128 1/8 X 7/8 MINI TUBE CUTTER,CT-128 1/8X7/8 MINI TUBE CUTTER,CHINA STOCK,45,1,0.0083,0.09,2,2,2
GARDEN HEDGE SHEAR BLACK/RED,GARDEN HEDGE SHEAR BLACK/RED,CHINA STOCK,45,1,0.0083,0.09,2,2,2
GARBAGE BAG BLK 130X140CM,GARBAGE BAG BLK 130X140CM,CHINA STOCK,45,1,0.0083,0.09,2,2,2
